17:48:25.910994 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 3574583819:3574586715, ack 2860355411, win 58, options [nop,nop,TS val 27836492 ecr 27836491], length 2896
17:48:25.993353 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 98464:101360, ack 1, win 58, options [nop,nop,TS val 27836512 ecr 27836511], length 2896
17:48:25.995776 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 101360:104256, ack 1, win 58, options [nop,nop,TS val 27836513 ecr 27836512], length 2896
17:48:25.998198 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 104256:107152, ack 1, win 58, options [nop,nop,TS val 27836513 ecr 27836513], length 2896
17:48:26.000620 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 107152:110048, ack 1, win 58, options [nop,nop,TS val 27836514 ecr 27836513], length 2896
17:48:26.003043 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 110048:112944, ack 1, win 58, options [nop,nop,TS val 27836515 ecr 27836514], length 2896
17:48:26.005465 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 112944:115840, ack 1, win 58, options [nop,nop,TS val 27836515 ecr 27836515], length 2896
17:48:26.007888 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 115840:118736, ack 1, win 58, options [nop,nop,TS val 27836516 ecr 27836515], length 2896
17:48:26.010310 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 118736:121632, ack 1, win 58, options [nop,nop,TS val 27836516 ecr 27836516], length 2896
17:48:26.012733 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 121632:124528, ack 1, win 58, options [nop,nop,TS val 27836517 ecr 27836516], length 2896
17:48:26.015155 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 124528:127424, ack 1, win 58, options [nop,nop,TS val 27836518 ecr 27836517], length 2896
17:48:26.017577 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 127424:130320, ack 1, win 58, options [nop,nop,TS val 27836518 ecr 27836518], length 2896
17:48:26.020003 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 130320:133216, ack 1, win 58, options [nop,nop,TS val 27836519 ecr 27836518], length 2896
17:48:26.022426 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 133216:136112, ack 1, win 58, options [nop,nop,TS val 27836519 ecr 27836519], length 2896
17:48:26.024845 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 136112:139008, ack 1, win 58, options [nop,nop,TS val 27836520 ecr 27836519], length 2896
17:48:26.027268 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 139008:141904, ack 1, win 58, options [nop,nop,TS val 27836521 ecr 27836520], length 2896
17:48:26.029702 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 141904:144800, ack 1, win 58, options [nop,nop,TS val 27836521 ecr 27836521], length 2896
17:48:26.032123 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 144800:147696, ack 1, win 58, options [nop,nop,TS val 27836522 ecr 27836521], length 2896
17:48:26.034535 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 147696:150592, ack 1, win 58, options [nop,nop,TS val 27836522 ecr 27836522], length 2896
17:48:26.036957 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 150592:153488, ack 1, win 58, options [nop,nop,TS val 27836523 ecr 27836522], length 2896
17:48:26.039380 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 153488:156384, ack 1, win 58, options [nop,nop,TS val 27836524 ecr 27836523], length 2896
17:48:26.041802 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 156384:159280, ack 1, win 58, options [nop,nop,TS val 27836524 ecr 27836524], length 2896
17:48:26.044224 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 159280:162176, ack 1, win 58, options [nop,nop,TS val 27836525 ecr 27836524], length 2896
17:48:26.046647 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 162176:165072, ack 1, win 58, options [nop,nop,TS val 27836525 ecr 27836525], length 2896
17:48:26.049069 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 165072:167968, ack 1, win 58, options [nop,nop,TS val 27836526 ecr 27836525], length 2896
17:48:26.051491 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 167968:170864, ack 1, win 58, options [nop,nop,TS val 27836527 ecr 27836526], length 2896
17:48:26.053914 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 170864:173760, ack 1, win 58, options [nop,nop,TS val 27836527 ecr 27836527], length 2896
17:48:26.056336 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 173760:176656, ack 1, win 58, options [nop,nop,TS val 27836528 ecr 27836527], length 2896
17:48:26.058759 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 176656:179552, ack 1, win 58, options [nop,nop,TS val 27836528 ecr 27836528], length 2896
17:48:26.061181 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 179552:182448, ack 1, win 58, options [nop,nop,TS val 27836529 ecr 27836528], length 2896
17:48:26.063603 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 182448:185344, ack 1, win 58, options [nop,nop,TS val 27836530 ecr 27836529], length 2896
17:48:26.066026 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 185344:188240, ack 1, win 58, options [nop,nop,TS val 27836530 ecr 27836530], length 2896
17:48:26.068448 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 188240:191136, ack 1, win 58, options [nop,nop,TS val 27836531 ecr 27836530], length 2896
17:48:26.070871 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 191136:194032, ack 1, win 58, options [nop,nop,TS val 27836531 ecr 27836531], length 2896
17:48:26.073293 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 194032:196928, ack 1, win 58, options [nop,nop,TS val 27836532 ecr 27836531], length 2896
17:48:26.075715 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 196928:199824, ack 1, win 58, options [nop,nop,TS val 27836533 ecr 27836532], length 2896
17:48:26.078138 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 199824:202720, ack 1, win 58, options [nop,nop,TS val 27836533 ecr 27836533], length 2896
17:48:26.080560 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 202720:205616, ack 1, win 58, options [nop,nop,TS val 27836534 ecr 27836533], length 2896
17:48:26.082983 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 205616:208512, ack 1, win 58, options [nop,nop,TS val 27836535 ecr 27836534], length 2896
17:48:26.085405 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 208512:211408, ack 1, win 58, options [nop,nop,TS val 27836535 ecr 27836535], length 2896
17:48:26.087828 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 211408:214304, ack 1, win 58, options [nop,nop,TS val 27836536 ecr 27836535], length 2896
17:48:26.090250 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 214304:217200, ack 1, win 58, options [nop,nop,TS val 27836536 ecr 27836536], length 2896
17:48:26.092672 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 217200:220096, ack 1, win 58, options [nop,nop,TS val 27836537 ecr 27836536], length 2896
17:48:26.095095 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 220096:222992, ack 1, win 58, options [nop,nop,TS val 27836538 ecr 27836537], length 2896
17:48:26.097517 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 222992:225888, ack 1, win 58, options [nop,nop,TS val 27836538 ecr 27836538], length 2896
17:48:26.099940 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 225888:228784, ack 1, win 58, options [nop,nop,TS val 27836539 ecr 27836538], length 2896
17:48:26.102362 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 228784:231680, ack 1, win 58, options [nop,nop,TS val 27836539 ecr 27836539], length 2896
17:48:26.104784 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 231680:234576, ack 1, win 58, options [nop,nop,TS val 27836540 ecr 27836539], length 2896
17:48:26.107207 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 234576:237472, ack 1, win 58, options [nop,nop,TS val 27836541 ecr 27836540], length 2896
17:48:26.109629 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 237472:240368, ack 1, win 58, options [nop,nop,TS val 27836541 ecr 27836541], length 2896
17:48:26.112052 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 240368:243264, ack 1, win 58, options [nop,nop,TS val 27836542 ecr 27836541], length 2896
17:48:26.114474 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 243264:246160, ack 1, win 58, options [nop,nop,TS val 27836542 ecr 27836542], length 2896
17:48:26.116896 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 246160:249056, ack 1, win 58, options [nop,nop,TS val 27836543 ecr 27836542], length 2896
17:48:26.119320 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 249056:251952, ack 1, win 58, options [nop,nop,TS val 27836544 ecr 27836543], length 2896
17:48:26.121741 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 251952:254848, ack 1, win 58, options [nop,nop,TS val 27836544 ecr 27836544], length 2896
17:48:26.124164 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 254848:257744, ack 1, win 58, options [nop,nop,TS val 27836545 ecr 27836544], length 2896
17:48:26.126586 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 257744:260640, ack 1, win 58, options [nop,nop,TS val 27836545 ecr 27836545], length 2896
17:48:26.129008 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 260640:263536, ack 1, win 58, options [nop,nop,TS val 27836546 ecr 27836545], length 2896
17:48:26.131431 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 263536:266432, ack 1, win 58, options [nop,nop,TS val 27836547 ecr 27836546], length 2896
17:48:26.133855 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 266432:269328, ack 1, win 58, options [nop,nop,TS val 27836547 ecr 27836547], length 2896
17:48:26.136276 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 269328:272224, ack 1, win 58, options [nop,nop,TS val 27836548 ecr 27836547], length 2896
17:48:26.138698 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 272224:275120, ack 1, win 58, options [nop,nop,TS val 27836548 ecr 27836548], length 2896
17:48:26.141120 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 275120:278016, ack 1, win 58, options [nop,nop,TS val 27836549 ecr 27836548], length 2896
17:48:26.143543 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 278016:280912, ack 1, win 58, options [nop,nop,TS val 27836550 ecr 27836549], length 2896
17:48:26.145965 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 280912:283808, ack 1, win 58, options [nop,nop,TS val 27836550 ecr 27836550], length 2896
17:48:26.148387 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 283808:286704, ack 1, win 58, options [nop,nop,TS val 27836551 ecr 27836550], length 2896
17:48:26.150810 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 286704:289600, ack 1, win 58, options [nop,nop,TS val 27836551 ecr 27836551], length 2896
17:48:26.153232 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 289600:292496, ack 1, win 58, options [nop,nop,TS val 27836552 ecr 27836551], length 2896
17:48:26.155655 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 292496:295392, ack 1, win 58, options [nop,nop,TS val 27836553 ecr 27836552], length 2896
17:48:26.158077 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 295392:298288, ack 1, win 58, options [nop,nop,TS val 27836553 ecr 27836553], length 2896
17:48:26.160500 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 298288:301184, ack 1, win 58, options [nop,nop,TS val 27836554 ecr 27836553], length 2896
17:48:26.162922 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 301184:304080, ack 1, win 58, options [nop,nop,TS val 27836554 ecr 27836554], length 2896
17:48:26.165347 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 304080:306976, ack 1, win 58, options [nop,nop,TS val 27836555 ecr 27836554], length 2896
17:48:26.167769 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 306976:309872, ack 1, win 58, options [nop,nop,TS val 27836556 ecr 27836555], length 2896
17:48:26.170191 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 309872:312768, ack 1, win 58, options [nop,nop,TS val 27836556 ecr 27836556], length 2896
17:48:26.172611 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 312768:315664, ack 1, win 58, options [nop,nop,TS val 27836557 ecr 27836556], length 2896
17:48:26.175033 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 315664:318560, ack 1, win 58, options [nop,nop,TS val 27836558 ecr 27836557], length 2896
17:48:26.177456 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 318560:321456, ack 1, win 58, options [nop,nop,TS val 27836558 ecr 27836558], length 2896
17:48:26.179878 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 321456:324352, ack 1, win 58, options [nop,nop,TS val 27836559 ecr 27836558], length 2896
17:48:26.182300 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 324352:327248, ack 1, win 58, options [nop,nop,TS val 27836559 ecr 27836559], length 2896
17:48:26.184723 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 327248:330144, ack 1, win 58, options [nop,nop,TS val 27836560 ecr 27836559], length 2896
17:48:26.187145 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 330144:333040, ack 1, win 58, options [nop,nop,TS val 27836561 ecr 27836560], length 2896
17:48:26.189568 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 333040:335936, ack 1, win 58, options [nop,nop,TS val 27836561 ecr 27836561], length 2896
17:48:26.191990 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 335936:338832, ack 1, win 58, options [nop,nop,TS val 27836562 ecr 27836561], length 2896
17:48:26.194413 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 338832:341728, ack 1, win 58, options [nop,nop,TS val 27836562 ecr 27836562], length 2896
17:48:26.196835 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 341728:344624, ack 1, win 58, options [nop,nop,TS val 27836563 ecr 27836563], length 2896
17:48:26.199257 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 344624:347520, ack 1, win 58, options [nop,nop,TS val 27836564 ecr 27836563], length 2896
17:48:26.201680 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 347520:350416, ack 1, win 58, options [nop,nop,TS val 27836564 ecr 27836564], length 2896
17:48:26.204102 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 350416:353312, ack 1, win 58, options [nop,nop,TS val 27836565 ecr 27836564], length 2896
17:48:26.206524 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 353312:356208, ack 1, win 58, options [nop,nop,TS val 27836565 ecr 27836565], length 2896
17:48:26.208947 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 356208:359104, ack 1, win 58, options [nop,nop,TS val 27836566 ecr 27836565], length 2896
17:48:26.211369 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 359104:362000, ack 1, win 58, options [nop,nop,TS val 27836567 ecr 27836566], length 2896
17:48:26.213792 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 362000:364896, ack 1, win 58, options [nop,nop,TS val 27836567 ecr 27836567], length 2896
17:48:26.216214 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 364896:367792, ack 1, win 58, options [nop,nop,TS val 27836568 ecr 27836567], length 2896
17:48:26.218636 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 367792:370688, ack 1, win 58, options [nop,nop,TS val 27836568 ecr 27836568], length 2896
17:48:26.221059 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 370688:373584, ack 1, win 58, options [nop,nop,TS val 27836569 ecr 27836568], length 2896
17:48:26.223481 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 373584:376480, ack 1, win 58, options [nop,nop,TS val 27836570 ecr 27836569], length 2896
17:48:26.225904 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 376480:379376, ack 1, win 58, options [nop,nop,TS val 27836570 ecr 27836570], length 2896
17:48:26.228326 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 379376:382272, ack 1, win 58, options [nop,nop,TS val 27836571 ecr 27836570], length 2896
17:48:26.230748 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 382272:385168, ack 1, win 58, options [nop,nop,TS val 27836571 ecr 27836571], length 2896
17:48:26.233171 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 385168:388064, ack 1, win 58, options [nop,nop,TS val 27836572 ecr 27836571], length 2896
17:48:26.235593 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 388064:390960, ack 1, win 58, options [nop,nop,TS val 27836573 ecr 27836572], length 2896
17:48:26.238016 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 390960:393856, ack 1, win 58, options [nop,nop,TS val 27836573 ecr 27836573], length 2896
17:48:26.240438 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 393856:396752, ack 1, win 58, options [nop,nop,TS val 27836574 ecr 27836573], length 2896
17:48:26.242860 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 396752:399648, ack 1, win 58, options [nop,nop,TS val 27836574 ecr 27836574], length 2896
17:48:26.245283 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 399648:402544, ack 1, win 58, options [nop,nop,TS val 27836575 ecr 27836574], length 2896
17:48:26.247705 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 402544:405440, ack 1, win 58, options [nop,nop,TS val 27836576 ecr 27836575], length 2896
17:48:26.250128 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 405440:408336, ack 1, win 58, options [nop,nop,TS val 27836576 ecr 27836576], length 2896
17:48:26.252612 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 408336:411232, ack 1, win 58, options [nop,nop,TS val 27836577 ecr 27836576], length 2896
17:48:26.255035 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 411232:414128, ack 1, win 58, options [nop,nop,TS val 27836578 ecr 27836577], length 2896
17:48:26.257457 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 414128:417024, ack 1, win 58, options [nop,nop,TS val 27836578 ecr 27836578], length 2896
17:48:26.259879 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 417024:419920, ack 1, win 58, options [nop,nop,TS val 27836579 ecr 27836578], length 2896
17:48:26.262302 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 419920:422816, ack 1, win 58, options [nop,nop,TS val 27836579 ecr 27836579], length 2896
17:48:26.264724 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 422816:425712, ack 1, win 58, options [nop,nop,TS val 27836580 ecr 27836579], length 2896
17:48:26.267147 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 425712:428608, ack 1, win 58, options [nop,nop,TS val 27836581 ecr 27836580], length 2896
17:48:26.269569 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 428608:431504, ack 1, win 58, options [nop,nop,TS val 27836581 ecr 27836581], length 2896
17:48:26.271992 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 431504:434400, ack 1, win 58, options [nop,nop,TS val 27836582 ecr 27836581], length 2896
17:48:26.274414 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 434400:437296, ack 1, win 58, options [nop,nop,TS val 27836582 ecr 27836582], length 2896
17:48:26.276837 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 437296:440192, ack 1, win 58, options [nop,nop,TS val 27836583 ecr 27836582], length 2896
17:48:26.279259 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 440192:443088, ack 1, win 58, options [nop,nop,TS val 27836584 ecr 27836583], length 2896
17:48:26.281681 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 443088:445984, ack 1, win 58, options [nop,nop,TS val 27836584 ecr 27836584], length 2896
17:48:26.284104 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 445984:448880, ack 1, win 58, options [nop,nop,TS val 27836585 ecr 27836584], length 2896
17:48:26.286526 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 448880:451776, ack 1, win 58, options [nop,nop,TS val 27836585 ecr 27836585], length 2896
